title,theme,year,shp_zip,geojson,csv,kml,rest,landing
Siniestros en ruta Chile 2022,Siniestros en ruta,2022,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4228eee50fec4c1d96da7f4c36090647/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4228eee50fec4c1d96da7f4c36090647/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4228eee50fec4c1d96da7f4c36090647/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4228eee50fec4c1d96da7f4c36090647/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Rural_2022/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/4228eee50fec4c1d96da7f4c36090647_0
Siniestros en ruta Chile 2024,Siniestros en ruta,2024,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/15bab50b92ba454f82ff095b6508135f/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/15bab50b92ba454f82ff095b6508135f/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/15bab50b92ba454f82ff095b6508135f/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/15bab50b92ba454f82ff095b6508135f/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Rural_2024/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/15bab50b92ba454f82ff095b6508135f_0
Siniestros en ruta Chile 2021,Siniestros en ruta,2021,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/be44abab73b64783a1474e123c28e9ce/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/be44abab73b64783a1474e123c28e9ce/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/be44abab73b64783a1474e123c28e9ce/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/be44abab73b64783a1474e123c28e9ce/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Rural_2021/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/be44abab73b64783a1474e123c28e9ce_0
Siniestros en ruta Chile 2020,Siniestros en ruta,2020,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/9eaeb00a4d544cb289506832507ab549/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/9eaeb00a4d544cb289506832507ab549/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/9eaeb00a4d544cb289506832507ab549/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/9eaeb00a4d544cb289506832507ab549/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Rural_2020/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/9eaeb00a4d544cb289506832507ab549_0
Siniestros en ruta Chile 2023,Siniestros en ruta,2023,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dd3fd2ae10a4f62bfbc10a0c38349e9/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dd3fd2ae10a4f62bfbc10a0c38349e9/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dd3fd2ae10a4f62bfbc10a0c38349e9/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4dd3fd2ae10a4f62bfbc10a0c38349e9/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Rural_2023/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/4dd3fd2ae10a4f62bfbc10a0c38349e9_0
Siniestros con participación de motocicletas 2024,Siniestros motocicletas,2024,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/2bf1f6744f3647b2af08a65a2e81c453/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/2bf1f6744f3647b2af08a65a2e81c453/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/2bf1f6744f3647b2af08a65a2e81c453/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/2bf1f6744f3647b2af08a65a2e81c453/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Moto_2024/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/2bf1f6744f3647b2af08a65a2e81c453_0
Siniestros con participación de motocicletas 2023,Siniestros motocicletas,2023,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/969e5159a749443d8e8c1b8be483c844/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/969e5159a749443d8e8c1b8be483c844/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/969e5159a749443d8e8c1b8be483c844/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/969e5159a749443d8e8c1b8be483c844/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Moto_2023/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/969e5159a749443d8e8c1b8be483c844_0
Siniestros con participación de motocicletas 2022,Siniestros motocicletas,2022,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/950bdf6180834d6b92d73b59c4c31e8b/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/950bdf6180834d6b92d73b59c4c31e8b/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/950bdf6180834d6b92d73b59c4c31e8b/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/950bdf6180834d6b92d73b59c4c31e8b/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Moto_2022/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/950bdf6180834d6b92d73b59c4c31e8b_0
Siniestros con participación de motocicletas 2020,Siniestros motocicletas,2020,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4495bb3970f34694bf68e9d649f2dd2e/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4495bb3970f34694bf68e9d649f2dd2e/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4495bb3970f34694bf68e9d649f2dd2e/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/4495bb3970f34694bf68e9d649f2dd2e/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Moto_2020/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/4495bb3970f34694bf68e9d649f2dd2e_0
Siniestros con participación de motocicletas 2021,Siniestros motocicletas,2021,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/eaa35345ab38473e9f0ee2e619b5d132/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/eaa35345ab38473e9f0ee2e619b5d132/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/eaa35345ab38473e9f0ee2e619b5d132/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/eaa35345ab38473e9f0ee2e619b5d132/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Moto_2021/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/eaa35345ab38473e9f0ee2e619b5d132_0
